dataset;P;choiceA;time;choiceB;time;choiceC;time;choiceD;time;contardo;time;
mu1979;10;9.0e+02;0.17;1.2e+03;0.13;1.0e+03;0.99;6.5e+02;1.00;2.2e+03;18.00;
nu3496;10;6.1e+02;0.71;8.5e+02;0.47;9.1e+02;3.30;2.2e+02;3.40;1.7e+02;24.00;
pcb3038;10;6.4e+02;0.54;8.7e+02;0.29;1.0e+03;2.60;1.9e+02;2.60;8.7e+01;450.00;
pla7397;10;7.6e+04;2.50;1.2e+05;2.00;1.6e+05;16.00;1.0e+05;16.00;1.0e+04;540.00;
pm8079;10;3.6e+02;3.50;5.7e+02;3.00;7.3e+02;18.00;4.6e+02;18.00;8.3e+01;100.00;
pr2392;10;2.6e+03;0.21;3.0e+03;0.18;3.5e+03;1.50;2.6e+03;1.50;6.7e+02;91.00;
rl1889;10;3.6e+03;0.16;3.6e+03;0.11;3.5e+03;0.98;8.4e+02;0.99;1.6e+03;54.00;
rl5915;10;3.4e+03;1.90;3.3e+03;1.70;4.0e+03;9.70;1.3e+03;9.90;1.7e+03;240.00;
rl5934;10;1.6e+03;1.90;4.2e+03;1.70;3.3e+03;9.90;2.0e+03;10.00;1.7e+03;610.00;
rw1621;10;1.4e+02;0.12;2.6e+02;0.09;2.6e+02;0.87;1.5e+02;0.70;1.3e+02;4.40;
tz6117;10;1.3e+03;2.10;2.8e+03;1.80;2.8e+03;10.00;8.3e+02;11.00;3.8e+03;310.00;
u1817;10;3.5e+02;0.09;4.4e+02;0.06;4.7e+02;0.84;4.4e+02;1.20;2.2e+02;36.00;
ym7663;10;7.4e+02;3.10;9.4e+02;2.60;1.2e+03;14.00;4.1e+02;15.00;2.7e+03;200.00;
Average;-;1.6e+04;2.0;1.3e+04;1.66;1.9e+04;9.34;8.4e+03;10.44;9.2e+03;153;
